city, square, price_per_sqm_reg, price_per_sqm_avg, std_err, num_obs, coords
"Berlin",d-1,10.8367526374,11.3506429915,0.45993861212,38,"52.5893862386,13.329811517"
"Berlin",e-1,9.95796110757,10.3275282869,0.35207624864,50,"52.5893862386,13.3593357085"
"Berlin",f-1,11.5944679928,11.2464399986,0.16164075573,98,"52.5893862386,13.3888599"
"Berlin",g-1,10.4531927181,11.072616974,0.321125948923,30,"52.5893862386,13.4183840915"
"Berlin", h-1,n/a,n/a,n/a,0
"Berlin", i-1,n/a,n/a,n/a,0
"Berlin",j-1,8.80298251014,8.76764914469,0.459602817069,5,"52.5893862386,13.5069566659"
"Berlin", a-2,n/a,n/a,n/a,1
"Berlin", b-2,n/a,n/a,n/a,0
"Berlin",c-2,9.70196049854,9.97588555383,0.339326721608,31,"52.571298804,13.3002873256"
"Berlin",d-2,10.1590629518,10.3789872401,0.155401500464,110,"52.571298804,13.329811517"
"Berlin",e-2,5.87481631535,9.91382569793,0.384736903917,136,"52.571298804,13.3593357085"
"Berlin",f-2,11.9168261481,11.8893960288,0.196515932373,150,"52.571298804,13.3888599"
"Berlin",g-2,11.0258931565,11.1132651994,0.183425252919,89,"52.571298804,13.4183840915"
"Berlin",h-2,10.8735050083,10.6062243036,0.24272213724,64,"52.571298804,13.447908283"
"Berlin",i-2,10.2001782923,10.4236645746,0.285894213944,24,"52.571298804,13.4774324744"
"Berlin",j-2,9.02693647165,9.29479542982,0.180510975138,29,"52.571298804,13.5069566659"
"Berlin",a-3,10.1780722183,10.0984394063,0.239922186685,36,"52.5532113693,13.2412389426"
"Berlin",b-3,9.59582245705,10.0356731943,0.390071202276,19,"52.5532113693,13.2707631341"
"Berlin",c-3,12.2205688536,11.7661465453,0.873318148539,4,"52.5532113693,13.3002873256"
"Berlin",d-3,10.6433718053,11.1196909546,0.181683980154,115,"52.5532113693,13.329811517"
"Berlin",e-3,11.5032496783,11.9378102464,0.223821187714,159,"52.5532113693,13.3593357085"
"Berlin",f-3,12.7738326899,12.3286491963,0.263801534807,250,"52.5532113693,13.3888599"
"Berlin",g-3,13.267894983,12.4412245827,0.212559027534,228,"52.5532113693,13.4183840915"
"Berlin",h-3,11.3915716652,11.3165189664,0.289155818372,68,"52.5532113693,13.447908283"
"Berlin",i-3,10.74637212,10.6829797885,0.253109397628,71,"52.5532113693,13.4774324744"
"Berlin", j-3,n/a,n/a,n/a,1
"Berlin",a-4,11.9529811372,12.1296849967,0.371470588033,15,"52.5351239347,13.2412389426"
"Berlin",b-4,11.0355463107,11.2459499346,0.245185579368,44,"52.5351239347,13.2707631341"
"Berlin",c-4,11.8839205506,11.7818663045,0.292551323821,142,"52.5351239347,13.3002873256"
"Berlin",d-4,10.1302326822,11.1622707161,0.310123605095,172,"52.5351239347,13.329811517"
"Berlin",e-4,13.0987686333,11.8773561016,0.350728150286,196,"52.5351239347,13.3593357085"
"Berlin",f-4,14.7054940638,14.3135050581,0.249065012987,401,"52.5351239347,13.3888599"
"Berlin",g-4,13.7258038225,12.5086260988,0.22803687737,226,"52.5351239347,13.4183840915"
"Berlin",h-4,12.5803746769,12.641057066,0.213885967597,175,"52.5351239347,13.447908283"
"Berlin",i-4,9.46926026264,9.78832397698,0.372326068385,29,"52.5351239347,13.4774324744"
"Berlin",j-4,8.05489920303,8.81480152284,0.739776755311,6,"52.5351239347,13.5069566659"
"Berlin",a-5,10.8398692851,11.4014175016,0.28001145524,31,"52.5170365,13.2412389426"
"Berlin",b-5,11.6041242293,11.8330775623,0.198544960051,134,"52.5170365,13.2707631341"
"Berlin",c-5,12.9684604385,13.26791585,0.326216637394,245,"52.5170365,13.3002873256"
"Berlin",d-5,12.235173626,12.3551484896,0.518982723622,83,"52.5170365,13.329811517"
"Berlin",e-5,15.4231321952,13.9614023853,0.532779785544,167,"52.5170365,13.3593357085"
"Berlin",f-5,13.2756922547,12.3392378381,0.510883078408,127,"52.5170365,13.3888599"
"Berlin",g-5,13.1275587212,13.8121088716,0.417372968706,138,"52.5170365,13.4183840915"
"Berlin",h-5,12.8501124748,12.8913191317,0.196605966631,262,"52.5170365,13.447908283"
"Berlin",i-5,11.6799228215,11.5279355593,0.235035779623,115,"52.5170365,13.4774324744"
"Berlin",j-5,10.1123126303,10.6844701996,0.193911693381,105,"52.5170365,13.5069566659"
"Berlin",a-6,14.5108562659,14.8397931367,0.712041844155,14,"52.4989490653,13.2412389426"
"Berlin",b-6,12.9908549784,12.2491187226,0.35930285049,90,"52.4989490653,13.2707631341"
"Berlin",c-6,12.5007308948,12.0251535836,0.262468136908,195,"52.4989490653,13.3002873256"
"Berlin",d-6,12.0458931342,12.2072452574,0.177230549146,191,"52.4989490653,13.329811517"
"Berlin",e-6,8.35839497742,11.7145045896,0.496072303418,111,"52.4989490653,13.3593357085"
"Berlin",f-6,11.6883978057,12.05173959,0.352584166546,108,"52.4989490653,13.3888599"
"Berlin",g-6,12.1345180625,12.5041450761,0.180662500731,155,"52.4989490653,13.4183840915"
"Berlin",h-6,12.9738318938,12.5169819077,0.356047339292,59,"52.4989490653,13.447908283"
"Berlin",i-6,14.0918194129,12.4118148977,1.12566263832,13,"52.4989490653,13.4774324744"
"Berlin",j-6,9.6623394772,9.62693927391,0.251667883192,61,"52.4989490653,13.5069566659"
"Berlin",a-7,17.9569847611,17.0788140021,1.48689991063,4,"52.4808616307,13.2412389426"
"Berlin",b-7,14.3002290384,13.4555599851,0.380025543181,65,"52.4808616307,13.2707631341"
"Berlin",c-7,12.5352135306,11.6667744435,0.276919149081,144,"52.4808616307,13.3002873256"
"Berlin",d-7,11.6654220194,11.8059585996,0.291518162012,127,"52.4808616307,13.329811517"
"Berlin",e-7,10.9087629514,11.1029211008,0.299718198867,35,"52.4808616307,13.3593357085"
"Berlin",f-7,8.92753238789,9.47303927261,0.615503657036,10,"52.4808616307,13.3888599"
"Berlin",g-7,11.5611383779,11.978406506,0.208525628204,139,"52.4808616307,13.4183840915"
"Berlin",h-7,8.47096492273,9.79388457666,0.475544554766,48,"52.4808616307,13.447908283"
"Berlin",i-7,10.4872385709,10.8496588922,0.363095379431,35,"52.4808616307,13.4774324744"
"Berlin",j-7,9.1546058593,9.04986154963,0.118674098116,105,"52.4808616307,13.5069566659"
"Berlin",a-8,13.8272693296,12.9358481501,0.373219846691,62,"52.462774196,13.2412389426"
"Berlin",b-8,14.2320431661,13.9103340936,0.270591711842,45,"52.462774196,13.2707631341"
"Berlin",c-8,11.3476625591,11.5221467454,0.195769969625,119,"52.462774196,13.3002873256"
"Berlin",d-8,10.3394370585,10.5478072267,0.222489347713,90,"52.462774196,13.329811517"
"Berlin",e-8,9.81081816432,10.4103862832,0.204506671014,87,"52.462774196,13.3593357085"
"Berlin",f-8,9.82292219276,10.0696685583,0.253465734364,17,"52.462774196,13.3888599"
"Berlin",g-8,10.911492564,11.0412252079,0.340380015771,45,"52.462774196,13.4183840915"
"Berlin",h-8,9.29740216421,9.11039741854,0.357942701247,19,"52.462774196,13.447908283"
"Berlin",i-8,10.2727099855,10.0203242716,0.275997349502,25,"52.462774196,13.4774324744"
"Berlin",j-8,8.94257729132,9.26330569469,0.162501117585,100,"52.462774196,13.5069566659"
"Berlin",a-9,12.0969929573,11.7529006062,0.309618514853,48,"52.4446867614,13.2412389426"
"Berlin",b-9,12.7572779184,11.9679443742,0.467325722183,64,"52.4446867614,13.2707631341"
"Berlin",c-9,11.618932669,11.3585828128,0.22655149069,46,"52.4446867614,13.3002873256"
"Berlin",d-9,10.47532696,10.6739044008,0.177602276502,73,"52.4446867614,13.329811517"
"Berlin",e-9,8.51361687148,9.70292115218,0.381994060182,39,"52.4446867614,13.3593357085"
"Berlin",f-9,9.68260037596,9.81946250749,0.306777518953,21,"52.4446867614,13.3888599"
"Berlin",g-9,10.3748006468,10.386897097,0.242995880717,7,"52.4446867614,13.4183840915"
"Berlin",h-9,10.7354915482,10.6446953913,0.310888751709,53,"52.4446867614,13.447908283"
"Berlin",i-9,10.5019929825,10.4435470975,0.298357375839,26,"52.4446867614,13.4774324744"
"Berlin",j-9,11.2715277531,11.7788915988,0.258420658668,19,"52.4446867614,13.5069566659"
